	X090319_0121168	X090328_0121177	X090333_0121182	X090343_0121192	X090347_0121196	X090350_0121199	X090352_0121201	X090364_0121213	X090318_0121167	X090320_0121169	X090324_0121173	X090327_0121176	X090332_0121181	X090342_0121191	X090346_0121195	X090349_0121198	X090351_0121200	X090363_0121212	PERMUTED
GO_POSITIVE_REGULATION_OF_KINASE_ACTIVITY	-0.021968575436877663	-0.03618538473227606	-0.13871452783442517	-0.01697338243745468	-0.0479305669165906	0.09220470853282446	-0.04844496287533767	-0.041034655754614235	0.00839460234737488	-0.03183366870213089	-0.03608591008734152	0.03729533953635916	0.027997738911852976	0.052943948654123274	-0.03184601633460596	0.07664249772560974	-0.07619086124545256	-0.04208172663664357	0
GO_POTASSIUM_ION_TRANSPORT	0.13130453173993176	-0.023879144363983043	5.259361250753436e-05	0.04494924282048446	-0.0414208438733043	0.013436154477113757	-0.09214836178350821	0.15949384402340677	0.06405584760417607	-0.08648234577532792	-0.023541314840094585	-0.10678957275598906	-0.032582790936610054	0.01692198464907274	0.11271737842048758	0.13727632327277295	0.01841808550255583	0.1309830359573195	0
GO_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT	-0.08405507800354883	0.052049489917281366	0.11017933683154026	-0.023267485793380643	0.19214720899266208	-0.09326451456383472	-0.05341517814075064	0.17556163372088657	-0.01995573703459691	0.12243261885939989	-0.05271483063602818	0.06632438244036559	0.12928522855382046	0.032135014351993216	0.011189709439124423	-0.03777566644669786	-0.13040397710569573	0.1398663540377338	0
GO_NEURON_DEVELOPMENT	0.03429854008886393	-0.05205859265049721	-0.14648485320046428	-0.01261744461174212	0.003187746193865665	0.05980040791213284	0.04765946893916734	-0.017574136282060962	0.012208332598508037	0.06543280504400828	0.02078506786306332	-0.09813024963107563	-0.08324275260390228	-0.027624279362007453	0.011358461261780806	0.05164382049601303	-0.025263639746978275	-0.05406560810789217	0
GO_POSITIVE_REGULATION_OF_MYOTUBE_DIFFERENTIATION	-0.32029893251537006	0.1355917502863033	-0.029523424806881582	-0.0888841890197784	-0.12079169961866007	-0.06519138826764155	-0.049499653282078365	0.1383489539900186	-0.22096429084337768	0.19681097824914223	0.0715179068165489	0.15885304905458197	0.15314800253244393	-0.1097701129561473	-0.14586030609896317	0.027552868172727174	-0.3590280800871214	0.026294670402574383	0
GO_REGULATION_OF_CELL_ACTIVATION	-0.0459151420288469	0.09973792579321769	0.07583174145004114	0.02505807191594775	-0.02412339089708769	0.030402295580738425	-0.022295919423161545	0.04329088373364427	-0.03663459297003205	-0.10046444414103636	0.02084546889260408	0.05204109544460435	0.0675280101092139	0.08868480948923096	-0.15494715274870474	0.042798230721039734	-0.05372685330717543	-0.019500684872997345	0
GO_ATP_DEPENDENT_CHROMATIN_REMODELING	0.24196987586917307	-0.08377492807723465	0.3067329380928978	-0.17930905151886256	-0.052804194363200774	-0.08432047808441237	-0.23431529253547836	-0.12676817268844948	0.2599417041920239	0.2808620939943774	0.09785253433481836	-0.3550459513176041	-0.313944039035795	0.3738708575618171	-0.011561493249196586	0.10207831349678652	0.12407188373472036	0.06915643831542047	0
GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	-0.02180567393184249	-0.038545881280524705	-0.057587170769642856	-0.004126023115624211	-0.008050676736331017	0.10184154579325548	-0.04890439805961988	0.07165720330791667	0.043337777808961586	0.06381454033348871	0.016586919011563103	0.00381766777160078	-0.04490658215584824	-0.026198679158204438	-0.060187163738964794	0.014815953634837759	-0.08301190714418097	-0.10999845415436023	0
GO_ION_TRANSPORT	-0.0005179214120180908	0.07136694578918677	-0.010220022100691659	0.04165963935370756	-0.05043627597739077	-0.014261403710358889	-0.05127268118734339	0.11810577643635654	0.025080461972913165	-0.007585020723143876	-0.01968052312772957	0.08921294891201724	0.12547495061490857	-0.07417470562013163	-0.0005435831385181278	0.03277327933896254	-0.10483375374194469	0.04626832539865165	0
GO_CHROMOSOME_ORGANIZATION	0.057627272066810786	-0.11944755845867436	-0.051294744019702604	-0.0512064773450521	0.0018761022636843705	0.05093504252015968	-0.0035157474991811544	-0.16494894823469577	0.02442864914719045	0.1525128017287048	0.05432783311370275	-0.21015699910428673	-0.19556412714171642	0.18273315658830055	0.04685012452842348	0.03270907404901732	0.08537272208469068	-0.11017524295745645	0
